"IPRange","ServiceArea","Category","Required","ID"
"13.107.6.152/31","Exchange","Optimize","true","1"
"13.107.18.10/31","Exchange","Optimize","true","1"
"13.107.128.0/22","Exchange","Optimize","true","1"
"23.103.160.0/20","Exchange","Optimize","true","1"
"40.96.0.0/13","Exchange","Optimize","true","1"
"40.104.0.0/15","Exchange","Optimize","true","1"
"52.96.0.0/14","Exchange","Optimize","true","1"
"131.253.33.215/32","Exchange","Optimize","true","1"
"132.245.0.0/16","Exchange","Optimize","true","1"
"150.171.32.0/22","Exchange","Optimize","true","1"
"204.79.197.215/32","Exchange","Optimize","true","1"
"13.107.6.152/31","Exchange","Allow","false","2"
"13.107.18.10/31","Exchange","Allow","false","2"
"13.107.128.0/22","Exchange","Allow","false","2"
"23.103.160.0/20","Exchange","Allow","false","2"
"40.96.0.0/13","Exchange","Allow","false","2"
"40.104.0.0/15","Exchange","Allow","false","2"
"52.96.0.0/14","Exchange","Allow","false","2"
"131.253.33.215/32","Exchange","Allow","false","2"
"132.245.0.0/16","Exchange","Allow","false","2"
"150.171.32.0/22","Exchange","Allow","false","2"
"204.79.197.215/32","Exchange","Allow","false","2"
"40.92.0.0/15","Exchange","Allow","true","9"
"40.107.0.0/16","Exchange","Allow","true","9"
"52.100.0.0/14","Exchange","Allow","true","9"
"52.238.78.88/32","Exchange","Allow","true","9"
"104.47.0.0/17","Exchange","Allow","true","9"
"40.92.0.0/15","Exchange","Allow","true","10"
"40.107.0.0/16","Exchange","Allow","true","10"
"52.100.0.0/14","Exchange","Allow","true","10"
"104.47.0.0/17","Exchange","Allow","true","10"
"52.112.0.0/14","Skype","Optimize","true","11"
"52.122.0.0/15","Skype","Optimize","true","11"
"52.112.0.0/14","Skype","Allow","true","12"
"52.122.0.0/15","Skype","Allow","true","12"
"13.107.136.0/22","SharePoint","Optimize","true","31"
"40.108.128.0/17","SharePoint","Optimize","true","31"
"52.104.0.0/14","SharePoint","Optimize","true","31"
"104.146.128.0/17","SharePoint","Optimize","true","31"
"150.171.40.0/22","SharePoint","Optimize","true","31"
"13.107.6.171/32","Common","Allow","true","46"
"13.107.18.15/32","Common","Allow","true","46"
"13.107.140.6/32","Common","Allow","true","46"
"52.108.0.0/14","Common","Allow","true","46"
"52.244.37.168/32","Common","Allow","true","46"
"20.20.32.0/19","Common","Allow","true","56"
"20.190.128.0/18","Common","Allow","true","56"
"20.231.128.0/19","Common","Allow","true","56"
"40.126.0.0/18","Common","Allow","true","56"
"13.107.6.192/32","Common","Allow","true","64"
"13.107.9.192/32","Common","Allow","true","64"
